ExternalSystem,EnvName,URL
SMS,DV1,https://smsdv1app01.dev.ibu.geico.net:4086/sms/restService
SMS,IN1,https://smsdv1app01.dev.ibu.geico.net:4086/sms/restService
SMS,UT1,https://smslt2slb01.geico.net/sms/restService
SMS,LT1,https://smslt2slb01.geico.net/sms/restService
SMS,FT1,https://smslt2slb01.geico.net/sms/restService
SMS,TR1,
SMS,PD1,https://smspd2slb01.geico.net/sms/restService
,,
,,
IES,DV1,https://iesdv1app01.geico.net:4086/axis2/services/SESService?wsdl
IES,IN1,https://iesdv1app01.geico.net:4086/axis2/services/SESService?wsdl
IES,UT1,https://iesus1slb01.geico.net/axis2/services/SESService?wsdl
IES,LT1,https://iesus1slb01.geico.net/axis2/services/SESService?wsdl
IES,FT1,https://iesus1slb01.geico.net/axis2/services/SESService?wsdl
IES,TR1,
IES,PD1,https://iespd1slb01.geico.net/axis2/services/SESService?wsdl
,,
,,
MSI Client,DV1,https://clientservices-nonprod.geico.net
MSI Client,IN1,https://clientservicesapi-int.lb.geicoddc.net/ClientBusinessServices/v1
MSI Client,UT1,https://clientservicesapi-user.lb.geicoddc.net/ClientBusinessServices/v1
MSI Client,LT1,
MSI Client,FT1,
MSI Client,TR1,
MSI Client,PD1,
,,
,,
BillingBusinessService,DV1,https://bilbbs.dv1.bilbbs.aze1.cloud.geico.net
BillingBusinessService,IN1,https://bilbbs.in1.bilbbs.aze1.cloud.geico.net
BillingBusinessService,UT1,https://bilbbs.ut1.bilbbs.aze1.cloud.geico.net
BillingBusinessService,LT1,https://bilbbs.lt1.bilbbs.aze1.cloud.geico.net/
BillingBusinessService,FT1,https://bilbbs.ft1.bilbbs.aze1.cloud.geico.net/
BillingBusinessService,TR1,https://bilbbs.tr1.bilbbs.aze1.cloud.geico.net/
BillingBusinessService,PD1,https://bilbbs.pd1.bilbbs.aze1.cloud.geico.net/
,,
,,
Billing ADC,DV1,https://gzebadcdv1app05.geicoddc.net/DuckCreek/DCTServer.aspx
Billing ADC,IN1,https://GZEBADCIN1APPILB.geicoddc.net/DuckCreek/dctserver.aspx
