ExternalSystem,EnvName,URL
Policy Aggregator,dev,https://ecmdv1app22.dev.ibu.geico.net/portfolio/jamon/ping.jsp
Policy Aggregator,integration,https://172.18.34.83/portfolio/jamon/ping.jsp 
Policy Aggregator,User,https://172.18.42.30/portfolio/jamon/ping.jsp
Policy Aggregator,loadtest,https://172.18.38.63/portfolio/jamon/ping.jsp
Policy Aggregator,fasttrack,https://172.18.42.84/portfolio/jamon/ping.jsp
Policy Aggregator,training,https://172.18.42.26/portfolio/jamon/ping.jsp
Policy Aggregator,production,https://172.18.46.89/portfolio/jamon/ping.jsp
,,
Insite Meta Data Service,dev,https://svcdv3app12.dev3.ibu.geico.net/insite/jamon/ping.jsp
Insite Meta Data Service,integration,https://172.18.34.84/insite/jamon/ping.jsp
Insite Meta Data Service,user,https://172.18.42.94/insite/jamon/ping.jsp
Insite Meta Data Service,loadtest,https://172.18.38.74/insite/jamon/ping.jsp
Insite Meta Data Service,fasttrack,https://172.18.42.79/insite/jamon/ping.jsp
Insite Meta Data Service,training,https://172.18.42.21/insite/jamon/ping.jsp
Insite Meta Data Service,production,https://172.18.46.96/insite/jamon/ping.jsp
,,
Ecams Services,dev,https://chws0655.geico.corp.net/Ecamsservices/configurationproperties/dashboard.aspx
Ecams Services,integration,https://ecams-int.geicoapp.net/Ecamsservices/configurationproperties/dashboard.aspx
Ecams Services,user,https://ecams-user.geicoapp.net/Ecamsservices/configurationproperties/dashboard.aspx
Ecams Services,loadtest,https://ecams-load.geicoapp.net/Ecamsservices/configurationproperties/dashboard.aspx
Ecams Services,fasttrack,https://ecams-ftrack.geicoapp.net/Ecamsservices/configurationproperties/dashboard.aspx
Ecams Services,training,https://ecams-trng.geicoapp.net/Ecamsservices/configurationproperties/dashboard.aspx
Ecams Services,production,https://ecams-prod.geicoapp.net/Ecamsservices/configurationproperties/dashboard.aspx
,,
ClaimsLightUrl WebService,dev,https://chws1241.geico.corp.net/SSCProvidedServices/ClaimService.svc 
ClaimsLightUrl WebService,integration,https://172.18.34.77/SSCProvidedServices/ClaimService.svc 
ClaimsLightUrl WebService,user,https://172.18.42.98/SSCProvidedServices/ClaimService.svc 
ClaimsLightUrl WebService,loadtest,https://172.18.38.69/SSCProvidedServices/ClaimService.svc 
ClaimsLightUrl WebService,fasttrack,https://172.18.42.99/SSCProvidedServices/ClaimService.svc 
ClaimsLightUrl WebService,training,https://172.18.42.100/SSCProvidedServices/ClaimService.svc 
ClaimsLightUrl WebService,production,https://172.18.46.69/SSCProvidedServices/ClaimService.svc 
,,
MoatCrossSellService ,dev,https://chws0832.geico.corp.net/Sales/Homeowners/CrossSellService/v2_1/CrossSellService.svc
MoatCrossSellService ,integration,https://frws0203.geico.corp.net/Sales/Homeowners/CrossSellService/v2_1/CrossSellService.svc
MoatCrossSellService ,user,https://mulus1frslb01.geico.net/Sales/Homeowners/CrossSellService/v2_1/CrossSellService.svc
MoatCrossSellService ,loadtest,https://mullt1frslb01.geico.net/Sales/Homeowners/CrossSellService/v2_1/CrossSellService.svc
MoatCrossSellService ,fasttrack,https://mulus1frslb01.geico.net/Sales/Homeowners/CrossSellService/v2_1/CrossSellService.svc Note :  No fastrack Using User
MoatCrossSellService ,training,https://mullt1frslb01.geico.net/Sales/Homeowners/CrossSellService/v2_1/CrossSellService.svc Note :  No training Using loadtest
MoatCrossSellService ,production,https://10.248.113.45/Sales/Homeowners/CrossSellService/v2_1/CrossSellService.svc
,,
Meds Policy Data & Carrier Contact,dev,https://chws0832/MEDSPolicyData/PolicyData.svc
Meds Policy Data & Carrier Contact,integration,https://frws0203.geico.corp.net/MEDSPolicyData/PolicyData.svc
Meds Policy Data & Carrier Contact,user,https://mulus1frslb01.geico.net/MEDSPolicyData/PolicyData.svc
Meds Policy Data & Carrier Contact,loadtest,https://mullt1frslb01.geico.net/MEDSPolicyData/PolicyData.svc
Meds Policy Data & Carrier Contact,fasttrack,https://mulus1frslb01.geico.net/MEDSPolicyData/PolicyData.svc  Note :  No fastrack Using User
Meds Policy Data & Carrier Contact,training,https://mullt1frslb01.geico.net/MEDSPolicyData/PolicyData.svc   Note: No training Using loadtest
Meds Policy Data & Carrier Contact,production,https://10.248.113.45/MEDSPolicyData/PolicyData.svc
,,
Meds Alerts,dev,https://chws0832.geico.corp.net/HROPPolicyDataService
Meds Alerts,integration,https://frws0203.geico.corp.net/HROPPolicyDataService
Meds Alerts,user,https://mulus1frslb01.geico.net/HROPPolicyDataService
Meds Alerts,loadtest,https://mullt1frslb01.geico.net/HROPPolicyDataService
Meds Alerts,fasttrack,https://mulus1frslb01.geico.net/HROPPolicyDataService Note :  No fastrack Using User
Meds Alerts,training,https://mullt1frslb01.geico.net/HROPPolicyDataService Note: No training Using loadtest
Meds Alerts,production,https://10.248.113.45/HROPPolicyDataService
,,
Umbrella Cross Sell &  Policy Data,dev,https://172.32.175.241/policyapi/v1
Umbrella Cross Sell &  Policy Data,integration,https://172.32.175.241/policyapi/v1
Umbrella Cross Sell &  Policy Data,user,https://172.32.175.249/policyapi/v1
Umbrella Cross Sell &  Policy Data,loadtest,https://172.32.174.64/policyapi/v1
Umbrella Cross Sell &  Policy Data,fasttrack,https://172.32.174.77/policyapi/v1
Umbrella Cross Sell &  Policy Data,training,https://172.32.174.82/policyapi/v1
Umbrella Cross Sell &  Policy Data,production,https://10.18.33.238/policyapi/v1
,,
MSI MQBridge,dev,https://outboundinterfaces-sec-int.lb.geicoddc.net/Email/v1/SendEmailemplate  NOTE:- Same as Dev
MSI MQBridge,integration,https://outboundinterfaces-sec-int.lb.geicoddc.net/Email/v1/SendEmailTemplate
MSI MQBridge,user,https://outboundinterfaces-sec-user.lb.geicoddc.net/Email/v1/SendEmailTemplate
MSI MQBridge,loadtest,https://outboundinterfaces-sec-load.lb.geicoddc.net/Email/v1/SendEmailTemplate
MSI MQBridge,fasttrack,https://outboundinterfaces-sec-ftrack.lb.geicoddc.net/Email/v1/SendEmailTemplate
MSI MQBridge,training,https://outboundinterfaces-sec-trng.lb.geicoddc.net/Email/v1/SendEmailTemplate
MSI MQBridge,production,https://outboundinterfaces.lb.geicoddc.net/Email/v1/SendEmailTemplate
,,
ESB Metrics Endpoint,dev,"amqps://host=rabbitmq-int.lb.geicoddc.net:5671,vmws0998.geicoddc.net:5671,vmws1071.geicoddc.net:5671,vmws2076.geicoddc.net:5671; Note: No Dev using integration only"
ESB Metrics Endpoint,integration,"amqps://host=rabbitmq-int.lb.geicoddc.net:5671,vmws0998.geicoddc.net:5671,vmws1071.geicoddc.net:5671,vmws2076.geicoddc.net:5671;"
ESB Metrics Endpoint,user,"amqps://host=rabbitmq-user.lb.geicoddc.net:5671,vmws1439.geicoddc.net:5671,vmws1440.geicoddc.net:5671,vmws2084.geicoddc.net:5671"
ESB Metrics Endpoint,loadtest,"amqps://host=rabbitmq-load.lb.geicoddc.net:5671,vmws1455.geicoddc.net:5671,vmws1456.geicoddc.net:5671,vmws2083.geicoddc.net:5671;

"
ESB Metrics Endpoint,fasttrack,
ESB Metrics Endpoint,training,
ESB Metrics Endpoint,production,
,,
InsiteLoginServiceEndpoint,dev,https://svcdv4app01.dev.ibu.geico.net/insite/webservices/applogin
InsiteLoginServiceEndpoint,integration,http://172.18.34.67:9085
InsiteLoginServiceEndpoint,user,http://172.18.42.70:9085
InsiteLoginServiceEndpoint,loadtest,http://172.18.38.56:9085
InsiteLoginServiceEndpoint,fasttrack,http://172.18.42.71:9085
InsiteLoginServiceEndpoint,training,http://172.18.42.72:9085
InsiteLoginServiceEndpoint,production,http://172.18.46.50:9085
,,
Insite Discount,dev,https://svcdv4app01.dev.ibu.geico.net/insite/webservices/discount/quote
Insite Discount,integration,http://172.18.34.67:9085
Insite Discount,user,http://172.18.42.70:9085
Insite Discount,loadtest,http://172.18.38.56:9085
Insite Discount,fasttrack,http://172.18.42.71:9085
Insite Discount,training,http://172.18.42.72:9085
Insite Discount,production,http://172.18.46.50:9085
